date,title,amount
2025-01-30,Atacadaco,17.00
2025-01-30,Mp *Deliverydaluh,21.00
2025-01-29,Hortifruti Bom Gosto L,63.09
2025-01-29,Ricky Lanches,33.00
2025-01-28,Ricky Lanches,33.00
2025-01-28,Mercado Santo Antonio,7.63
2025-01-28,Prime Fit Academia - Parcela 1/12,29.99
2025-01-25,Hortifruti Bom Gosto L,81.48
2025-01-25,Posto Milhas,50.00
2025-01-24,Janainacardosodos,16.00
2025-01-24,Via Sul,5.50
2025-01-24,Pagamento recebido,-539.13
2025-01-24,Posto Point,45.00
2025-01-24,Via Sul,5.50
2025-01-24,Zig*Acqualokos,66.50
2025-01-23,Pontodoacai,63.07
2025-01-23,Ricky Lanches,15.00
2025-01-23,Via Sul,5.50
2025-01-23,Buffon,61.90
2025-01-23,Via Sul,5.50
2025-01-23,Supermerc Gomes,57.46
2025-01-22,Hortifruti Bom Gosto L,51.45
2025-01-22,Uber Uber *Trip Help.U,8.97
2025-01-21,Pagamento recebido,-224.03
2025-01-19,Marileiborbaribei,79.00
2025-01-19,Marileiborbaribei,3.95
2025-01-18,Hortifruti Bom Gosto L,13.96
2025-01-18,Ricky Lanches,33.00
2025-01-18,Supermerc Gomes,94.12
2025-01-17,Padaria e Confeitaria,15.75
2025-01-17,Pagamento recebido,-52.75
2025-01-17,Ricky Lanches,25.00
2025-01-17,Restaurante e Lancheri,12.00
2025-01-16,Hotel California,8.00
2025-01-16,Ricky Lanches,25.00
2025-01-16,Pagamento recebido,-271.06
2025-01-15,Hortifruti Bom Gosto L,151.20
2025-01-15,Mp *Arcoflecha,55.00
2025-01-15,X do Brutus Restaurant,33.00
2025-01-14,Joicesabrina,13.59
2025-01-14,Pagamento recebido,-327.00
2025-01-14,Adair J Muniz Pereira,10.54
2025-01-14,Joicesabrina,13.45
2025-01-14,Bazar Rodrigues,8.98
2025-01-13,Supermerc Gomes,70.98
2025-01-13,Xbeleza,54.00
2025-01-13,Agroferragem Katia,30.00
2025-01-12,Padaria Sao Pedro,16.61
2025-01-11,Fernandes Fernandes e,75.01
2025-01-11,X do Brutus Restaurant,33.00
2025-01-10,Ricky Lanches,33.00
2025-01-10,Hortifruti Bom Gosto L,55.00
2025-01-10,Padaria e Confeitaria,4.50
2025-01-10,Mercado Uniao Zeroum,4.59
2025-01-09,Pagamento recebido,-505.69
2025-01-09,Ricky Lanches,33.00
2025-01-08,X do Brutus Restaurant,33.00
2025-01-08,Posto Milhas,261.87
2025-01-07,Google One,38.99
2025-01-07,Ricky Lanches,33.00
2025-01-07,Hortifruti Bom Gosto L,47.43
2025-01-06,Pagamento recebido,-1217.26
2025-01-06,Janaina Gomes da Silv,20.00
2025-01-06,Padaria Sao Pedro,14.69
2025-01-06,Mercearia Serrana,41.18
2025-01-05,Cia do Sabor,179.80
2025-01-04,Hortifruti Bom Gosto L,146.81
2025-01-04,Supermerc Gomes,240.62
2025-01-03,Posto Marco Zero - Parcela 1/6,48.99
2025-01-03,Uber Uber *Trip Help.U,13.91
2025-01-02,Mercearia Serrana,38.52
2025-01-02,Via Sul,5.50
2025-01-01,Hortifruti Bom Gosto L,52.91
2025-01-01,Posto Marco Zero,58.90
2025-01-01,Via Sul,5.50
2025-01-01,Farmacia Sao Joao,43.80
2025-01-01,Joicesabrina,12.99
2024-12-31,Prime Fit Academia - Parcela 2/12,54.15
2024-12-31,V L da Cunha e Cia - Parcela 10/10,33.19
2024-12-31,Pagamento recebido,-1000.38
2024-12-31,V L da Cunha e Cia - Parcela 10/10,12.49
2024-12-31,Supermerc Gomes - Parcela 2/2,26.63
2024-12-31,Pg *Xgrow - Parcela 1/12,299.70
2024-12-31,Ândrei Nunes dos Santos,56.58
2024-12-31,Sao Joao Farmacias - Parcela 3/3,25.75
2024-12-31,Sao Joao Farmacias - Parcela 4/4,45.66
